{'itemName': 'Target Acquired', 'enemyName': 'Tusk Thumper Bull', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.5, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Tusk Thumper', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.5, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Zealot Proselytizer', 'enemyModDropChance': 20, 'rarity': 'Rare', 'chance': 8.33, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Zealot Herald', 'enemyModDropChance': 20, 'rarity': 'Rare', 'chance': 8.33, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Zealot Baptizer', 'enemyModDropChance': 20, 'rarity': 'Rare', 'chance': 8.33, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Recon Commander', 'enemyModDropChance': 100, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Kuva Larvling', 'enemyModDropChance': 20, 'rarity': 'Rare', 'chance': 8.33, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Zealoid Prelate', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 2.78, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Saturn Six Fugitive', 'enemyModDropChance': 20, 'rarity': 'Rare', 'chance': 8.33, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Wolf Of Saturn Six', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 2.78, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Narmer Thumper Bull', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.5, 'tablename': 'modLocations'}
{'itemName': 'Target Acquired', 'enemyName': 'Narmer Thumper', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.5, 'tablename': 'modLocations'}
{'itemName': 'Firewalker', 'enemyName': 'Kuva Jester', 'enemyModDropChance': 2.5, 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'modLocations'}
{'itemName': 'Firewalker', 'enemyName': 'Drekar Hellion', 'enemyModDropChance': 30, 'rarity': 'Rare', 'chance': 2.01, 'tablename': 'modLocations'}
{'itemName': 'Cryo Coating', 'enemyName': 'Glacik Commander', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'modLocations'}
{'itemName': 'High Noon', 'enemyName': 'Feyarch Specter', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 6.06, 'tablename': 'modLocations'}
{'itemName': 'High Noon', 'enemyName': 'Brood Mother', 'enemyModDropChance': 3, 'rarity': 'Rare', 'chance': 1.01, 'tablename': 'modLocations'}
{'itemName': 'High Noon', 'enemyName': 'Deimos Brood Mother', 'enemyModDropChance': 3, 'rarity': 'Rare', 'chance': 1.01, 'tablename': 'modLocations'}
{'itemName': 'Twirling Spire', 'enemyName': 'Recon Commander', 'enemyModDropChance': 100, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Uncommon Corpus Storage Container', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Carrier', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Common Grineer Storage Container', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Uncommon Grineer Storage Container', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Dreg', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Attack Mutalist', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Mutalist Lightning Carrier', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Mutalist Toxic Carrier', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Orokin Storage Container', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Courier', 'enemyModDropChance': 30, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Rare Corpus Storage Container', 'enemyModDropChance': 7.5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Rare Grineer Storage Container', 'enemyModDropChance': 7.5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Rare Orokin Storage Container', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Reinforced Grineer Storage Container', 'enemyModDropChance': 10, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Reinforced Orokin Storage Container', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Deimos Tendril Drone', 'enemyModDropChance': 3, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Exo Eviscerator', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Exo Supressor', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Kosma Eviscerator', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Gyre Eviscerator', 'enemyModDropChance': 5, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Gyre Supressor', 'enemyModDropChance': 5, 'rarity': 'Uncommon', 'chance': 25.29, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Kosma Supressor', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Nascent Membroid', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Mature Membroid', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Apex Membroid', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Argon Plating', 'enemyName': 'Juvenile Membroid', 'enemyModDropChance': 5, 'rarity': 'Common', 'chance': 37.94, 'tablename': 'modLocations'}
{'itemName': 'Arcane Grace', 'enemyName': 'Eidolon Hydrolyst (Special)', 'enemyModDropChance': 100, 'rarity': 'Rare', 'chance': 5, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Elite Taro Basilisk', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.32, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Taro Basilisk', 'enemyModDropChance': 15, 'rarity': 'Rare', 'chance': 7.37, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Orm Gox', 'enemyModDropChance': 15, 'rarity': 'Rare', 'chance': 5.56, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Elite Axio Harpi', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.32, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Axio Harpi', 'enemyModDropChance': 15, 'rarity': 'Rare', 'chance': 7.37, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Vorac Gox', 'enemyModDropChance': 15, 'rarity': 'Rare', 'chance': 3.16, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Elite Kosma Cutter', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 12.32, 'tablename': 'modLocations'}
{'itemName': 'Raider Matrix', 'enemyName': 'Kosma Cutter', 'enemyModDropChance': 15, 'rarity': 'Uncommon', 'chance': 22.92, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Tusk Reaver', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Tusk Hellion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Tusk Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Nightwatch Reaver', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Kuva Hellion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Kuva Lancer', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
{'itemName': 'Iron Phoenix', 'enemyName': 'Arid Hellion', 'enemyModDropChance': 3, 'rarity': 'Legendary', 'chance': 0.5, 'tablename': 'modLocations'}
