{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Intact', 'itemName': 'Akstiletto Prime Barrel', 'rarity': 'Uncommon', 'chance': 11, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Intact', 'itemName': 'Trinity Prime Systems Blueprint', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Intact', 'itemName': 'Fragor Prime Head', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Intact', 'itemName': 'Dual Kamas Prime Handle', 'rarity': 'Uncommon', 'chance': 11, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Intact', 'itemName': 'Braton Prime Stock', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Intact', 'itemName': 'Nikana Prime Blueprint', 'rarity': 'Rare', 'chance': 2, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Exceptional', 'itemName': 'Akstiletto Prime Barrel', 'rarity': 'Uncommon', 'chance': 13, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Exceptional', 'itemName': 'Trinity Prime Systems Blueprint', 'rarity': 'Uncommon', 'chance': 23.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Exceptional', 'itemName': 'Fragor Prime Head', 'rarity': 'Uncommon', 'chance': 23.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Exceptional', 'itemName': 'Dual Kamas Prime Handle', 'rarity': 'Uncommon', 'chance': 13, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Exceptional', 'itemName': 'Braton Prime Stock', 'rarity': 'Uncommon', 'chance': 23.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Exceptional', 'itemName': 'Nikana Prime Blueprint', 'rarity': 'Rare', 'chance': 4, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Flawless', 'itemName': 'Akstiletto Prime Barrel', 'rarity': 'Uncommon', 'chance': 17, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Flawless', 'itemName': 'Trinity Prime Systems Blueprint', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Flawless', 'itemName': 'Fragor Prime Head', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Flawless', 'itemName': 'Dual Kamas Prime Handle', 'rarity': 'Uncommon', 'chance': 17, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Flawless', 'itemName': 'Braton Prime Stock', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Flawless', 'itemName': 'Nikana Prime Blueprint', 'rarity': 'Rare', 'chance': 6, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Radiant', 'itemName': 'Akstiletto Prime Barrel', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Radiant', 'itemName': 'Trinity Prime Systems Blueprint', 'rarity': 'Uncommon', 'chance': 16.67, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Radiant', 'itemName': 'Fragor Prime Head', 'rarity': 'Uncommon', 'chance': 16.67, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Radiant', 'itemName': 'Dual Kamas Prime Handle', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Radiant', 'itemName': 'Braton Prime Stock', 'rarity': 'Uncommon', 'chance': 16.67, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A1', 'relicState': 'Radiant', 'itemName': 'Nikana Prime Blueprint', 'rarity': 'Uncommon', 'chance': 10, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Intact', 'itemName': 'Aksomati Prime Link', 'rarity': 'Rare', 'chance': 2, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Intact', 'itemName': 'Wukong Prime Chassis Blueprint', 'rarity': 'Uncommon', 'chance': 11, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Intact', 'itemName': 'Paris Prime Grip', 'rarity': 'Uncommon', 'chance': 11, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Intact', 'itemName': 'Akbronco Prime Blueprint', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Intact', 'itemName': 'Forma Blueprint', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Intact', 'itemName': 'Stradavar Prime Receiver', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Exceptional', 'itemName': 'Aksomati Prime Link', 'rarity': 'Rare', 'chance': 4, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Exceptional', 'itemName': 'Wukong Prime Chassis Blueprint', 'rarity': 'Uncommon', 'chance': 13, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Exceptional', 'itemName': 'Paris Prime Grip', 'rarity': 'Uncommon', 'chance': 13, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Exceptional', 'itemName': 'Akbronco Prime Blueprint', 'rarity': 'Uncommon', 'chance': 23.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Exceptional', 'itemName': 'Forma Blueprint', 'rarity': 'Uncommon', 'chance': 23.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Exceptional', 'itemName': 'Stradavar Prime Receiver', 'rarity': 'Uncommon', 'chance': 23.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Flawless', 'itemName': 'Aksomati Prime Link', 'rarity': 'Rare', 'chance': 6, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Flawless', 'itemName': 'Wukong Prime Chassis Blueprint', 'rarity': 'Uncommon', 'chance': 17, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Flawless', 'itemName': 'Paris Prime Grip', 'rarity': 'Uncommon', 'chance': 17, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Flawless', 'itemName': 'Akbronco Prime Blueprint', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Flawless', 'itemName': 'Forma Blueprint', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Flawless', 'itemName': 'Stradavar Prime Receiver', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Radiant', 'itemName': 'Aksomati Prime Link', 'rarity': 'Uncommon', 'chance': 10, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Radiant', 'itemName': 'Wukong Prime Chassis Blueprint', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Radiant', 'itemName': 'Paris Prime Grip', 'rarity': 'Uncommon', 'chance': 20, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Radiant', 'itemName': 'Akbronco Prime Blueprint', 'rarity': 'Uncommon', 'chance': 16.67, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Radiant', 'itemName': 'Forma Blueprint', 'rarity': 'Uncommon', 'chance': 16.67, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A10', 'relicState': 'Radiant', 'itemName': 'Stradavar Prime Receiver', 'rarity': 'Uncommon', 'chance': 16.67, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Intact', 'itemName': 'Atlas Prime Neuroptics Blueprint', 'rarity': 'Rare', 'chance': 2, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Intact', 'itemName': 'Pangolin Prime Blade', 'rarity': 'Uncommon', 'chance': 11, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Intact', 'itemName': 'Wukong Prime Systems Blueprint', 'rarity': 'Uncommon', 'chance': 11, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Intact', 'itemName': 'Zhuge Prime String', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Intact', 'itemName': 'Fang Prime Blueprint', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Intact', 'itemName': 'Burston Prime Receiver', 'rarity': 'Uncommon', 'chance': 25.33, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Exceptional', 'itemName': 'Atlas Prime Neuroptics Blueprint', 'rarity': 'Rare', 'chance': 4, 'tablename': 'relics'}
{'relicTier': 'Axi', 'relicName': 'A11', 'relicState': 'Exceptional', 'itemName': 'Pangolin Prime Blade', 'rarity': 'Uncommon', 'chance': 13, 'tablename': 'relics'}
