{'source': 'The Sergeant', 'itemName': 'Region Resource', 'rarity': 'Common', 'chance': 97.42, 'tablename': 'resourceByAvatar'}
{'source': 'The Sergeant', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 2.58, 'tablename': 'resourceByAvatar'}
{'source': 'Vem Tabook', 'itemName': 'Neurodes', 'rarity': 'Common', 'chance': 50, 'tablename': 'resourceByAvatar'}
{'source': 'Leekter', 'itemName': 'Neurodes', 'rarity': 'Common', 'chance': 25, 'tablename': 'resourceByAvatar'}
{'source': 'Shik Tal', 'itemName': 'Neurodes', 'rarity': 'Common', 'chance': 25, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Moa', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Moa', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Moa', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Kucumatz', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Kucumatz', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Kucumatz', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Machinist', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Machinist', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Machinist', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Heqet', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Heqet', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Heqet', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Osprey', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Osprey', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Osprey', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Moa', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Moa', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Moa', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Satyr', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Satyr', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Satyr', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Osprey', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Osprey', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Osprey', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Alkonost', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Alkonost', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Alkonost', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Machinist', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Machinist', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Machinist', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Satyr', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Satyr', 'itemName': 'Region Resource', 'rarity': 'Uncommon', 'chance': 2.43, 'tablename': 'resourceByAvatar'}
{'source': 'Demolyst Satyr', 'itemName': 'Orokin Cell', 'rarity': 'Rare', 'chance': 0.38, 'tablename': 'resourceByAvatar'}
{'source': 'Amalgam Heqet', 'itemName': 'Hexenon', 'rarity': 'Common', 'chance': 7.19, 'tablename': 'resourceByAvatar'}
