{'objectiveName': 'Arbitrations', 'itemName': 'Ayatan Valana Sculpture', 'rarity': 'Rare', 'chance': 9, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Ayatan Sah Sculpture', 'rarity': 'Rare', 'chance': 9, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Ayatan Ayr Sculpture', 'rarity': 'Rare', 'chance': 9, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': '3X Vitus Essence', 'rarity': 'Rare', 'chance': 7, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Pistoleer', 'rarity': 'Rare', 'chance': 5, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Tanker', 'rarity': 'Rare', 'chance': 5, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Bodyguard', 'rarity': 'Rare', 'chance': 5, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Combat Discipline', 'rarity': 'Rare', 'chance': 2, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Adaptation', 'rarity': 'Rare', 'chance': 2, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Aerodynamic', 'rarity': 'Rare', 'chance': 2, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Aura Forma Blueprint', 'rarity': 'Rare', 'chance': 1, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': '900 Endo', 'rarity': 'Common', 'chance': 44, 'rotation': 'A', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Ayatan Vaya Sculpture', 'rarity': 'Uncommon', 'chance': 12, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Ayatan Piv Sculpture', 'rarity': 'Uncommon', 'chance': 12, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': '3X Vitus Essence', 'rarity': 'Rare', 'chance': 7, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Bodyguard', 'rarity': 'Rare', 'chance': 5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Blade Charger', 'rarity': 'Rare', 'chance': 5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Primary Charger', 'rarity': 'Rare', 'chance': 5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Combat Discipline', 'rarity': 'Rare', 'chance': 2.5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Adaptation', 'rarity': 'Rare', 'chance': 2.5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Shepherd', 'rarity': 'Rare', 'chance': 2.5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Aura Forma Blueprint', 'rarity': 'Rare', 'chance': 2, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': '1200 Endo', 'rarity': 'Common', 'chance': 44.5, 'rotation': 'B', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Ayatan Orta Sculpture', 'rarity': 'Uncommon', 'chance': 20, 'rotation': 'C', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': '3X Vitus Essence', 'rarity': 'Rare', 'chance': 7, 'rotation': 'C', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Pistoleer', 'rarity': 'Rare', 'chance': 5, 'rotation': 'C', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Tanker', 'rarity': 'Rare', 'chance': 5, 'rotation': 'C', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Blade Charger', 'rarity': 'Rare', 'chance': 5, 'rotation': 'C', 'tablename': 'transientRewards'}
{'objectiveName': 'Arbitrations', 'itemName': 'Arcane Primary Charger', 'rarity': 'Rare', 'chance': 5, 'rotation': 'C', 'tablename': 'transientRewards'}
